Product,O_Bar_Code,Licence_Number,,F_Bar_Code
Advanced Publishing Inc.,3488035257619,ZU-8388948,,
Eco Paperworks Group,3156432759351,HV-9605406,,
Advanced Printworks Holdings,2860905094683,CB-8023203,,
Green Publications Enterprises,4523512851890,CD-8521416,,
Ultimate Publications Inc.,6449322897869,MR-7155539,,
Pro Printing International,2778026870482,KJ-5227124,,1.19852E+12
Eco Paper Partners,4180222351548,MD-9936183,,3.53924E+12
Universal Paper Partners,3073962645013,UK-9298958,,6.73712E+12
Premier Printing Partners,8724750230569,EH-3245793,,8.94628E+12
Premier Books Co.,2357099144510,FI-2447373,,4.00301E+12
Premier Books Holdings,3031825375005,JX-3935344,,6.12858E+12
NextGen Pages Co.,84336333753,GR-8560372,,2.41792E+12
Advanced Media Enterprises,1614613274090,VH-2604610,,1.17609E+12
Premier Media Co.,9883680226403,IN-1666325,,7.89489E+12
Superior Pages Corporation,731502037134,GJ-3692066,,2.91465E+12
Pro Publications Inc.,6540463555746,QV-2621683,,
Ultimate Press Partners,1535667877198,LK-3153801,,
Pro Printing Co.,1759608849089,TV-9989797,,
Pro Paper Ltd.,7265424502514,KH-9463158,,
Superior Paperworks Global,4882852436849,XA-5036859,,
Green Publications Enterprises,1770437349438,VC-2589957,,5.40022E+12
Ultimate Pages Inc.,9947652675093,RD-3660342,,2.0903E+12
Ultimate Press Inc.,975117094651,UC-3036358,,4.2796E+12
Pro Publications Corporation,4805573025232,TI-8236373,,2.39975E+12
Ultimate Books Co.,6510105302307,XO-8482298,,4.673E+11
Ultimate Media Holdings,379189438797,YK-3344500,,8.51268E+12
Universal Printworks Global,9270374785925,MR-4749975,,6.24712E+12
Superior Media Global,5398882417400,HL-1335751,,3.94519E+12
Ultimate Pages Group,685418061780,GG-7666443,,4.78528E+12
Superior Media Partners,3872869718563,TK-2282157,,1.24932E+12
Green Pages Global,1713744055388,MI-8083032,,8.19558E+12
Pro Media Group,91982633647,UH-5377718,,9.51912E+12
NextGen Publications Co.,4490234838806,OC-5351621,,8.35769E+12
Superior Publishing Inc.,275362952288,HO-2978075,,6.61308E+12
Superior Books Enterprises,7214773219760,XO-4956350,,6.50494E+12
Superior Paperworks Holdings,3104201520570,MI-2314759,,8.6274E+12
Universal Printing Inc.,4187632126046,UD-1274812,,9.64944E+12
Ultimate Media Partners,4768629079,JI-2567345,,
Global Books Partners,2631688409799,SX-7164023,,
Ultimate Printing Group,9826027473109,WM-2569134,,
Eco Printing Group,5792552179248,VB-1704192,,2.76992E+12
Premier Publishing Inc.,6362721587105,CD-3256206,,4.10438E+12
Pro Press Inc.,7591068650041,II-6113490,,4.1098E+12
Superior Paperworks Ltd.,7644738856253,HG-9436162,,5.46276E+12
Pro Paper Enterprises,1098609915803,CS-4457741,,1.68018E+12
Ultimate Publishing Global,1541090649197,EQ-7704834,,3.12157E+12
Superior Media Ltd.,6479908373598,KK-9396449,,5.44625E+11
Eco Books Global,5568423677816,TA-5563242,,6.82083E+12
Premier Publications Co.,5629894186572,WV-2810444,,3.80217E+12
Premier Printing Partners,8631794313452,SF-7201574,,4.12496E+12
Advanced Publishing Partners,726394802938,BV-7563952,,9.15979E+12
Universal Books Group,365198857591,RJ-1997275,,2.56617E+11
Superior Pages Global,8007068871976,GV-8402072,,2.40159E+12
Universal Paper Corporation,5849603230172,CL-9369640,,5.47596E+12
Global Pages Ltd.,4387962864671,ZS-8934890,,
Green Printworks Inc.,7084074184511,IP-3852656,,
Eco Printing International,7835058857656,CA-3667889,,
Superior Publishing Ltd.,6825303490093,NL-4436170,,
Green Publications Global,8068935793117,OF-1506998,,
Premier Printworks Co.,4455272194073,AL-1297824,,
Eco Paper International,5243898988416,PD-1390394,,
Global Books Group,4920754240478,OU-3284383,,
Universal Printing Partners,8978478153208,QR-7886280,,
Ultimate Publishing International,4816933887569,FO-5670905,,
Pro Publishing Ltd.,8817746010017,KU-1490099,,
Universal Media Ltd.,7379919255989,CD-1827110,,1.04261E+12
Ultimate Books Co.,2200012988915,CG-6479631,,2.15764E+12
Green Media Inc.,2933685766884,SL-4076325,,2.70728E+12
Pro Paperworks Partners,7754569532442,HT-7223972,,3.76615E+12
NextGen Publications Global,6359077648766,NT-1826040,,1.02131E+11
Green Paper Enterprises,9928827479937,KB-4189592,,4.61727E+12
Advanced Press Holdings,2272804459190,NU-1289137,,1.59056E+12
Universal Press Global,8856179733775,MY-2954143,,4.64191E+12
Global Media Global,7960906120221,KE-9827963,,8.55596E+12
Premier Press Global,5282535813628,RU-8900262,,4.59973E+12
Green Paper Global,4587028224685,QQ-3031257,,2.7062E+12
Premier Pages Group,9608306130252,CD-8163724,,6.90507E+12
Green Paperworks Corporation,4659241360968,RL-8326823,,5.95827E+12
Premier Paper Group,4880456603432,HF-5269892,,8.06327E+12
Advanced Press Corporation,2218286231503,GU-1741245,,3.00768E+12
NextGen Publishing Co.,211385993496,UG-8731631,,8.76137E+12
Ultimate Pages Holdings,19760038163,PO-6701437,,
NextGen Paperworks Enterprises,5037813866491,ZL-8818415,,
Green Paper Inc.,3080353673975,BD-3876705,,
Premier Press Global,5086128371443,HB-1183207,,
Advanced Press Inc.,2013724146802,QM-1273496,,2.05755E+12
Advanced Printing Global,2583472538562,AC-2039263,,4.72404E+12
Premier Paper Ltd.,846636922625,FP-8889270,,4.72218E+12
Superior Printing International,8903200835849,DP-7435200,,6.59353E+12
Pro Printing Partners,50074954393,HV-4241221,,2.19001E+12
Premier Press International,4970311182696,AT-4525371,,2.14086E+12
NextGen Printing Corporation,6147895701326,RB-4988314,,4.84014E+11
Premier Printing International,3472265037289,KE-2428627,,2.01317E+12
NextGen Publications Holdings,5865395933640,FU-8041332,,1.35791E+12
Advanced Pages Inc.,465102433112,EC-8165320,,5.30605E+12
Eco Printing Co.,4449065605943,YM-9346525,,5.44811E+12
NextGen Publishing International,7758078760987,UJ-5756766,,3.98078E+12
Pro Printworks Group,5080064822279,KH-1643860,,9.66101E+12
Green Books Holdings,9642606015344,JQ-5414114,,6.36755E+12
Eco Pages Corporation,5860479985577,TQ-9020125,,3.42032E+12
NextGen Publications Co.,1721381327292,KM-8395538,,7.75645E+12
Advanced Paper International,7289631636538,GK-1404586,,4.98528E+12
Advanced Publications Group,9026643197083,XD-1895233,,9.58849E+12
Pro Media Group,5063529723534,GF-3838531,,1.88657E+12
Global Publications Global,7265358154141,YA-1860504,,4.56343E+12
Superior Publishing Inc.,6863466593443,FT-3622771,,6.31206E+12
Universal Books Ltd.,126834290902,QY-3819874,,4.9992E+12
Premier Printing International,8588885726798,VG-2479677,,4.43606E+12
Premier Pages Corporation,1107583522287,EB-7403411,,7.64415E+12
Green Books Global,4285245094855,KY-1163864,,6.37215E+12
Eco Publishing Inc.,9192551929496,BH-8371339,,5.20487E+12
Pro Printing International,7209142716643,OC-5496668,,1.44941E+12
NextGen Media Holdings,8031933041082,GZ-5898032,,5.12378E+12
Global Printing Holdings,756410376254,NK-2874713,,8.96651E+12
Pro Publications Corporation,6512050939379,GY-9233369,,7.12994E+11
Global Paperworks International,3440620858070,RD-2063727,,2.25006E+12
Premier Printing Enterprises,3487737592216,OB-3071079,,7.72197E+12
Universal Books Inc.,1533626399946,VS-7173520,,
Global Paper Inc.,2040841656613,AW-7491646,,
Premier Media Inc.,3776896526099,ND-4223048,,
Green Media Corporation,2197404669068,FA-3433133,,
NextGen Printing Ltd.,1100227563756,NG-4840998,,
Green Books Group,1897636507703,LG-1037106,,
Global Pages Co.,826432487028,MM-9409469,,8.33305E+12
Green Publications Global,5262079855506,UQ-8153026,,4.16011E+12
Green Paperworks International,4816205010032,FD-2224095,,7.42217E+12
Green Paperworks Ltd.,4344549170237,ZK-9390836,,6.48981E+12
Advanced Publishing Enterprises,2667106966621,VX-4464763,,4.6798E+12
Ultimate Printworks Ltd.,5689731100034,QG-6047595,,9.04208E+12
Eco Paperworks Enterprises,3782115319954,KX-7986973,,8.13577E+12
Eco Paperworks Partners,6965314504494,JM-6161484,,4.8789E+12
Green Printing Inc.,7412931885997,ZN-3707331,,3.72692E+12
Ultimate Books Corporation,3196548546455,QS-3060455,,8.0592E+11
Ultimate Media Global,8799313609732,QS-3719914,,2.61192E+12
Universal Books Global,1895735331512,HC-2057300,,2.01492E+12
Pro Pages Global,5890008283567,VF-6273568,,7.90457E+12
Universal Media Global,6093413701655,WY-2372769,,5.42472E+12
Pro Publications Partners,312754716401,GJ-5207233,,7.94678E+11
Pro Pages Co.,9708766843761,VT-3288766,,1.70884E+12
NextGen Pages Partners,5833023381172,TE-8690734,,7.80149E+12
NextGen Publications Enterprises,1765171184030,YW-2019695,,7.54472E+12
Green Printworks Co.,3316770070813,LR-7859300,,6.98436E+12
Global Paperworks Enterprises,4250848450455,FJ-3431101,,1.85837E+12
NextGen Paperworks Partners,8129398698047,OT-2150424,,5.48776E+12
Premier Printworks International,8081021534002,HR-2897332,,3.33128E+12
Superior Publishing Co.,1765931174674,NV-5893463,,8.27892E+12
Universal Printing Global,4937943864040,LU-3914711,,2.32146E+12
Advanced Printing Group,7208538471581,DY-8676269,,8.82503E+12
Green Printing International,4060800145656,OV-8477279,,1.39464E+12
Green Media Holdings,2660686769440,RS-2086762,,4.3286E+12
Green Publications Holdings,5771758415102,UV-9000311,,2.17637E+12
Ultimate Pages Global,3037677835319,CU-9449757,,5.53706E+12
Superior Paper International,6295363435323,FO-4173853,,6.52082E+12
Advanced Books International,2107253585694,IL-4888505,,6.56942E+11
Global Paperworks Co.,2700888078724,CX-9838661,,4.99808E+11
NextGen Publishing Holdings,1804306313567,BB-7440394,,
Ultimate Press Global,7702500629089,AX-6205865,,
Advanced Publications International,6644393730889,SP-5697738,,
Advanced Publishing Group,6058258035175,NI-9750055,,
Global Media Group,6286155869730,PT-7731192,,
Ultimate Books Co.,7318235595030,AS-2135677,,
Universal Pages Co.,8281104787152,UD-7237707,,4.37076E+12
Superior Pages Corporation,9320010523194,LQ-5355282,,8.37749E+12
Green Publishing Ltd.,1327582265513,ZO-3622044,,7.68965E+11
Green Paper Holdings,2918402723726,FH-8628318,,2.27819E+11
Ultimate Printing International,212163014331,SN-8004548,,4.61614E+12
Eco Publications Co.,5086608541362,PM-4142629,,8.91141E+12
Premier Media Inc.,8554060596458,RQ-1044235,,8.91991E+11
Pro Media Global,9679899237705,UA-4382806,,8.02285E+12
Universal Printing Partners,7597720617028,PJ-1541782,,4.82756E+11
Global Publications Enterprises,5313499883065,II-4387319,,5.87813E+12
Global Pages Group,587533102117,ZL-3428615,,6.85963E+12
Global Publishing Corporation,2723732872192,YE-8318569,,1.30217E+12
Green Paper International,4434100397363,TA-3912461,,8.68767E+12
Eco Pages Partners,6187108874262,HQ-2100630,,8.16456E+12
Superior Publications Global,8785170615159,ZA-6367316,,7.74546E+12
Eco Printing Corporation,3680626002836,UD-5217879,,4.03308E+12
Ultimate Paperworks Ltd.,8259577796224,YU-3188541,,8.671E+12
Universal Media Ltd.,8523038519814,OF-3421682,,6.59292E+12
Universal Media Holdings,7939338882817,KL-8653838,,
NextGen Printing Corporation,4827176889956,LO-9108945,,
Global Publications Inc.,6325461994030,CJ-5115400,,
Pro Printworks Global,5650589055824,KH-9122556,,2.27763E+12
Green Media Corporation,4164235718665,GG-8469526,,1.53667E+12
Green Printing Partners,5934095490759,CJ-3983327,,5.50584E+12
Pro Media Corporation,9450716404767,KT-4336511,,3.33886E+12
Pro Press Co.,3389919322831,KQ-8532789,,3.60094E+12
Premier Printworks Group,9049322110552,UW-8327641,,3.54355E+12
Green Press Enterprises,8243680994118,JA-5448359,,6.42409E+12
Superior Paperworks Co.,421826642572,FE-9095506,,7.30196E+12
NextGen Publishing Group,515588201694,GO-8440861,,3.22083E+12
Pro Printing Partners,1320501348005,MT-3229770,,2.88572E+12
Advanced Pages Ltd.,4349313583231,WD-1437038,,7.37685E+12
NextGen Media Group,9550796821969,ZI-3646991,,3.7644E+12
Green Paper Global,565331606398,SX-6773623,,7.03416E+12
Universal Printworks Group,2778883955529,QY-7677186,,2.1996E+12
Eco Pages Co.,5940357274390,BL-3428523,,7.38834E+11
Advanced Publishing Inc.,4902961464755,UR-8900594,,8.83124E+12
Advanced Pages Group,40868111156,FC-9582115,,8.61924E+12
NextGen Publications Holdings,8791137582458,XI-8354816,,8.3368E+12
Superior Paper Ltd.,193703737894,QA-2025260,,6.72405E+12
Global Media Partners,9053547814110,KB-7361731,,9.0685E+12
Advanced Paper Group,7474511383674,LX-2364402,,8.58019E+11
Ultimate Media Corporation,9988016838245,RH-6462378,,
Universal Printworks Holdings,2283033345599,GA-3061884,,
Superior Publications International,2524986588777,QS-1805906,,
Ultimate Media Corporation,7859277530208,BE-8502115,,
Superior Press Enterprises,2993011015601,VD-8231414,,
Eco Pages Holdings,5110442109083,HT-4559305,,3.07516E+12
Premier Media Global,3260107201237,JH-7450618,,3.77674E+12
Ultimate Paper Global,2757566785537,RB-6536636,,3.17096E+12
Green Press Enterprises,6155942271939,YY-5041470,,2.34766E+12
Green Printworks International,4408564061227,HB-5166277,,2.58472E+12
Pro Paperworks Ltd.,3795826374984,PC-8385870,,1.05098E+12
NextGen Press Inc.,8538473065775,NI-5504002,,9.16037E+12
Universal Printworks Inc.,1567978292667,AB-2775820,,4.57331E+12
Global Publications Ltd.,253582572486,QU-2385889,,3.00784E+12
Premier Paperworks International,8850545197878,RD-6541447,,5.74757E+12
Eco Paperworks Enterprises,2863585740173,DK-5026088,,8.45911E+11
Green Publications Enterprises,7091686555713,HD-7597931,,8.01134E+12
Global Books Partners,3075905285685,UZ-3813794,,9.58819E+12
Ultimate Publishing Global,1518427731192,VR-7713234,,4.71868E+12
Universal Pages Holdings,3407362604065,KI-8853167,,2.42383E+12
Ultimate Publications International,1022106048316,LC-6962788,,
Advanced Printworks Global,5229419877488,ZJ-1756184,,
Pro Pages Ltd.,4290351059418,ZB-3976459,,
Advanced Publishing Holdings,9503379828198,FF-1851486,,
Global Paperworks Ltd.,2171947634045,SP-5244361,,6.80062E+12
Premier Publications Holdings,5274643442637,DG-5362463,,35753367693
Ultimate Media Enterprises,9353621466777,VF-3921430,,1.5312E+12
Global Media Holdings,4737893985820,QH-8770434,,6.2859E+12
Pro Printing Co.,9428770990424,WM-7697358,,8.97004E+12
NextGen Media Partners,3105873961786,IO-1488651,,3.22909E+11
Advanced Press International,7624619200043,JJ-4012204,,2.62688E+12
Eco Publishing Holdings,8578302255828,VN-7759953,,2.04716E+12
Pro Publishing Global,5721360743656,RM-6036174,,5.96645E+12
NextGen Paperworks Ltd.,780526498339,WV-9012739,,2.33792E+12
Green Media Inc.,2616727143567,ND-8174763,,4.9138E+12
Green Pages International,3420519670897,RW-1779062,,8.72078E+12
Premier Pages Ltd.,3633896264485,XU-4849971,,4.30232E+12
Global Press Holdings,20719991054,JH-2127383,,7.72975E+12
Eco Printworks Partners,6563241483751,OQ-1396880,,1.58234E+12
Advanced Publications Corporation,4480838660955,MB-5601778,,7.87682E+12
Global Pages Group,8637149716696,TU-6895000,,2.72842E+12
Advanced Media Group,2143169715255,JJ-6205847,,7.22275E+12
Premier Publications Corporation,1089200425238,RN-3294921,,8.57065E+12
Ultimate Paper Global,7174523880236,RC-7214314,,4.55457E+12
NextGen Paper Global,4359394672840,AR-4627092,,5.9486E+12
Pro Publishing Corporation,8914594295624,BV-1970568,,5.8978E+12
