Product,O_Bar_Code,Licence_Number,,F_Bar_Code
Premier Publishing Global,8647935527687,WY-9858149,,2.75335E+12
Superior Printing Group,3057600540093,BP-2401123,,2.7282E+12
Premier Pages Global,3191841885455,LT-1939023,,2.29931E+12
Premier Books Group,5218559857040,AF-2445588,,3.76651E+12
Global Printworks International,2034933645653,CJ-2608313,,7.72256E+12
Superior Media Corporation,5290369823959,GB-9782213,,4.48377E+12
Green Publishing Corporation,9487164816520,NA-3976273,,4.2527E+12
Advanced Printing Global,947070579941,JD-5966490,,
Universal Printworks Enterprises,5304535682295,PQ-1872921,,
Superior Paperworks International,853838819192,AL-9601584,,
Superior Pages Enterprises,9900947350369,GW-9359094,,4.46725E+12
Superior Paperworks Corporation,36285470931,BK-5992971,,8.77105E+12
Global Printworks International,2596083612600,PG-5351395,,9.37503E+11
Green Publications Ltd.,9866426815138,HW-5981365,,8.2771E+12
Superior Pages Ltd.,1503205747115,ZP-6328754,,2.05482E+12
Green Books Group,7591107523294,GY-7368906,,2.65882E+12
Superior Press Partners,3655070049858,TN-4075563,,1.00962E+12
Green Publishing Co.,6866812119913,CN-8317606,,5.56201E+12
Universal Pages International,288380347699,TT-9152091,,9.34721E+12
Superior Media Corporation,1397898901715,GJ-4238926,,6.76118E+12
Superior Pages Global,7606065851918,EI-8194394,,5.6702E+12
Advanced Printworks Holdings,543530264407,JA-4309240,,4.0861E+12
Universal Pages Corporation,3929012443652,IS-5672204,,9.14383E+12
Ultimate Printworks Group,9012835392897,UG-9469648,,6.05315E+12
Green Printing Group,8286668984771,AR-1823839,,1.15465E+12
Ultimate Printworks Global,3396006076753,JV-4013705,,
Green Publications Co.,3664709259829,PZ-9779339,,
Premier Press Group,3031578449821,ZF-2202653,,
NextGen Paper International,2092768036251,GA-9831021,,
NextGen Paperworks International,5500916662417,WZ-4096867,,
Global Publications Holdings,8896524702860,DC-2551346,,
Premier Pages Group,6043236459123,BD-1005962,,
Green Paper International,2837276415086,YY-6636452,,
Universal Paperworks Inc.,8745304774521,BJ-4135251,,2.09911E+12
Pro Publications Corporation,6622510497908,OY-4824398,,2.68165E+12
NextGen Paperworks Enterprises,7131885394077,VB-7436593,,3.32199E+12
Advanced Printworks Global,5875704790788,NE-1480142,,2.87617E+12
Eco Paperworks Corporation,6400252110378,DH-5052974,,8.4216E+12
Universal Pages Inc.,3177453734153,XY-8417772,,4.21515E+12
Green Pages Corporation,8122390325418,RB-9153595,,9.93454E+12
Advanced Press Ltd.,8196445861691,OX-5141450,,2.98886E+12
Pro Publications Corporation,5356541566732,IZ-9220809,,9.69996E+12
Global Media Corporation,8112138741258,GU-5317683,,
Premier Publishing Co.,5105445725742,WH-4532647,,
Ultimate Books Group,635770798061,RK-1652403,,
Global Media Partners,6245579734419,JY-5495106,,
Green Paper Holdings,3945872710563,MR-1822494,,
Superior Printworks Global,73693535040,DC-8536010,,
Global Paper Enterprises,1911796082265,PG-1188666,,
Pro Paperworks Ltd.,1479635878224,LZ-2612116,,
Ultimate Pages Global,1639810011839,CL-5888553,,
Ultimate Books Enterprises,7247459574231,KF-8033037,,
Premier Media Enterprises,3948218890927,YC-8199547,,
Superior Printworks Global,7457704289946,XV-6633681,,
Ultimate Publishing Global,6172433559343,ET-9435405,,2.57965E+12
Pro Paperworks Partners,7531463677313,HE-1408660,,5.948E+11
Pro Pages Partners,2768071967629,OC-1987640,,9.5714E+12
Green Books Co.,8382951889798,XW-1019613,,2.76552E+12
Green Printworks Enterprises,908125942646,OQ-3994095,,1.11656E+12
NextGen Press Ltd.,3578505165539,HS-7014910,,6.09469E+12
Green Press Inc.,7677924441569,MR-9736778,,9.44791E+12
Advanced Press Ltd.,7308908130268,GZ-9025711,,3.76693E+12
Advanced Media Holdings,8171790681605,JI-8404467,,4.05175E+12
Advanced Press Corporation,3174947651879,YG-6836766,,3.21521E+12
NextGen Publishing Global,469499095578,ZF-6730881,,1.90751E+12
Green Paper Co.,6298556077722,GN-3903144,,1.92713E+12
Universal Printing Ltd.,6958146297213,TQ-6761590,,1.98921E+12
NextGen Media International,9575413974118,TY-3817741,,4.01476E+12
Advanced Pages Holdings,8665269600531,HK-4447483,,7.40053E+12
Green Paperworks Enterprises,9568808169599,HE-6212287,,9.1792E+12
NextGen Books Global,6664851431005,AZ-9386797,,
Universal Printing Corporation,7282912623060,FB-9412895,,
Superior Paperworks Group,3231411470328,ZW-3285481,,
NextGen Paperworks Global,4274761308024,VG-5419527,,7.61063E+12
Ultimate Printworks Holdings,2290295852212,JV-7478051,,4.97261E+12
Ultimate Paperworks Enterprises,166645810362,TR-6574327,,9.7075E+12
Eco Books Holdings,4719358821555,II-9280513,,3.27869E+12
NextGen Pages Partners,8484570829046,RQ-5287880,,3.47707E+12
Global Paperworks Inc.,9580091462274,YS-4861875,,5.43866E+12
Universal Paper Corporation,6584426796350,AP-7909341,,7.31889E+12
Superior Press Enterprises,4039402421719,EC-7429312,,1.02901E+12
Universal Publishing Holdings,7970905066741,HV-3009438,,7.58029E+12
NextGen Publishing Corporation,1278212311598,WZ-3815965,,96184491179
Eco Media Partners,2453777143184,ZQ-5724626,,2.65041E+12
Global Paper Inc.,1571544938032,CW-8741379,,4.19796E+11
Superior Publishing Enterprises,2039089614434,CV-8149043,,4.50743E+12
Pro Printworks Inc.,1127450250890,KI-1924427,,9.98189E+12
Advanced Books International,6163523020728,GF-3218691,,9.72362E+12
Global Media International,2611261941038,LY-7268748,,3.67572E+12
Superior Publications Partners,2632536674681,PM-5414520,,
Pro Media Global,5226027682285,QQ-6475663,,
Advanced Books Inc.,6374537075824,FE-1818310,,8.78862E+12
Green Publications Global,5309345600942,MR-4679697,,1.20227E+12
Premier Paper Holdings,3852675355388,TG-1969685,,4.2479E+12
Premier Publications Enterprises,5405615924466,HG-5118842,,2.12731E+12
Green Printworks Global,8673953431135,QQ-6686263,,5.21322E+12
Global Publishing Enterprises,4486400734833,EJ-1442917,,95319488672
Green Paperworks Co.,8306066361399,SL-4582276,,7.86662E+12
Premier Publishing Corporation,7204813964249,AM-9025644,,7.08633E+12
Global Press Corporation,7759068451281,TX-3631437,,3.17787E+11
Green Publishing International,3419280897123,IX-7667655,,3.63301E+12
Global Printworks Co.,6210138465483,OR-5860635,,8.28537E+12
Premier Media Inc.,4634784023431,CG-3295650,,5.07178E+12
Ultimate Printworks Partners,7045713053936,GA-9298120,,6.14116E+12
Superior Media Holdings,3787870393230,DG-1280327,,9.22345E+12
Ultimate Paper Co.,7306246044277,DL-6533910,,9.57665E+12
Universal Paperworks Group,1684628617791,BM-4201488,,
Pro Books Partners,5375911241905,PH-5544531,,
Universal Press Group,6599612291147,DZ-8145932,,
Eco Printing Global,4692184067170,AA-8507253,,2.91467E+11
Ultimate Printworks Group,727081761446,TW-6842891,,6.29195E+12
Eco Pages Enterprises,4084887478940,LL-8819672,,5.95319E+12
Ultimate Publications Holdings,684575066065,GR-3992999,,8.03736E+11
Green Media Corporation,6472655081544,EE-4619628,,5.67299E+12
Premier Press International,4624267646906,LZ-6961872,,9.34E+12
Universal Paper Corporation,4476321214457,WG-9564857,,3.36084E+12
Eco Books Ltd.,853175646656,JO-2498405,,2.60183E+12
Premier Publishing Inc.,6564992395602,KR-4745615,,2.64054E+12
NextGen Media Group,5897978179647,KG-1618825,,8.05739E+12
Eco Pages Ltd.,2837581948579,KR-5784560,,5.05748E+12
Global Printing Inc.,354461524755,YG-9990381,,8.9701E+12
Advanced Publications Partners,3173668663382,ES-8996514,,4.53744E+12
Global Printing Co.,1060149756375,EE-3394215,,7.87121E+12
Premier Publishing International,6169112467412,VN-2897841,,7.33143E+11
Advanced Publishing Partners,8121328951864,TD-1954814,,4.72165E+12
Advanced Press Ltd.,5135427622550,DR-2423770,,9.5962E+12
Green Pages Holdings,3825109414134,NV-1903969,,
Superior Press Group,9996422579544,CK-8441532,,
Global Publishing Corporation,7039899001999,UJ-5298721,,6.2936E+12
Green Books Co.,5262896370383,OY-6657987,,2.52884E+12
NextGen Press Co.,4175947370588,XE-9274112,,3.52412E+11
Advanced Printworks Global,1407800276381,XS-1256373,,8.25422E+12
Ultimate Pages Co.,8733221250491,JF-4274540,,5.3781E+12
Universal Media Holdings,1654146276519,RD-6263022,,6.19423E+12
Advanced Paper Global,4015760758445,CX-4464178,,4.55128E+12
Superior Pages Group,8239627696610,JN-5660052,,3.49808E+12
Global Paperworks Group,216752316292,MU-6573800,,9.78688E+12
Advanced Printing Corporation,3672623368610,QM-2809093,,7.0644E+12
Advanced Printworks Partners,4062175564075,HP-7131898,,1.85829E+12
Global Press Holdings,168192804980,TS-8746153,,
Eco Media Group,1662337681652,JX-1488683,,
Advanced Media International,280654942544,HA-8518002,,
Eco Printing Global,8246855757587,BJ-4130435,,
Premier Publications Enterprises,5854112668142,JC-2235324,,9.65426E+12
Global Press International,8672771478225,AA-4650636,,2.85751E+12
Pro Pages Group,5657502823966,BH-5337073,,7.92265E+11
Green Press Corporation,211540920998,HO-5868378,,4.74173E+12
Universal Publishing Holdings,3746266240541,TE-8369817,,4.4008E+12
Superior Media Global,5774245008984,IB-5257523,,8.37954E+12
Eco Books Partners,3277229718680,EQ-7826857,,7.77631E+12
Superior Books International,5538062707367,WZ-6913274,,2.9026E+12
Eco Printing Holdings,3059324046611,VI-1157189,,5.79579E+12
Premier Publishing Group,1187138803182,YA-2426979,,5.57368E+12
Pro Media Corporation,2930155874716,RZ-3730889,,7.16052E+12
Eco Publications Holdings,3957480868576,ZN-6554557,,
Ultimate Media Enterprises,6390671511819,CI-1106170,,
Superior Printing International,2763630273390,IU-7591803,,2.10702E+12
NextGen Publications Group,8022022230210,DG-1980234,,7.22377E+12
Ultimate Paperworks Partners,7201368340762,ZE-3426315,,3.40401E+12
Advanced Publications Group,1626798520012,GZ-2917342,,5.25742E+12
Advanced Printworks Inc.,9875958305419,RU-2845205,,9.98821E+12
Premier Paper Co.,6019022236778,CM-1996382,,9.10855E+12
Eco Publishing International,5632101753576,TW-5227208,,9.58393E+11
Superior Press Co.,1039125629582,AJ-5307615,,5.80385E+12
Premier Publications Group,7672226876808,HQ-1081122,,1.78284E+12
Global Publications Holdings,3138945764418,YD-6921851,,5.98275E+12
Premier Press Corporation,5918378135106,BX-9116466,,9.50652E+12
NextGen Media Holdings,7901154385563,ML-1364677,,7.15867E+12
Green Paperworks Holdings,3442737499381,UN-1617012,,4.54931E+12
Ultimate Paper Partners,7636971464923,NP-2994525,,
Ultimate Paper Holdings,7981019901784,IY-8385395,,
Eco Books Inc.,2704277059688,DO-6120628,,
Advanced Press Partners,5960616605313,EH-9721406,,3.11917E+12
Green Publishing Holdings,8175206102926,WM-7477073,,3.61772E+12
NextGen Books Enterprises,3350680094882,LH-9998244,,5.84672E+12
Advanced Paper Global,6822955488633,HX-6700648,,1.97991E+12
Superior Press Enterprises,5718576732872,WZ-8435371,,9.08803E+12
Eco Press Partners,6742320665937,FJ-1693145,,7.4382E+12
Superior Books Inc.,1507207764593,XF-3674000,,5.81947E+12
Global Books Co.,2294487736192,SS-8560369,,
Ultimate Press Inc.,6464567865470,WJ-1890189,,
Universal Publishing Co.,2813068973817,YK-7837670,,8.95868E+12
Ultimate Press Group,2339609433752,RT-9958821,,7.01838E+12
Eco Publishing Global,3997184908484,DG-3644537,,2.37233E+11
Universal Paperworks Holdings,1726622349721,LI-2231281,,1.84579E+12
NextGen Press Holdings,5630065084200,BN-9029124,,3.16275E+11
Eco Publications Global,3380847126781,MK-6762516,,2.97651E+12
Universal Publications Ltd.,3903100159296,QC-4274944,,2.48345E+12
NextGen Press Co.,2616015423759,LJ-3023863,,4.78315E+12
Ultimate Publishing Group,8910281700151,MM-7550879,,4.75347E+12
Eco Printing Co.,1415637175979,XF-9892614,,93048157405
Green Publishing Corporation,374200917835,IS-9046801,,6.505E+12
NextGen Paperworks Global,6817699898416,ZX-2676563,,3.39722E+12
Pro Publishing Enterprises,7681494878343,DJ-9362635,,7.24709E+12
Superior Paper Inc.,5390196762191,GQ-3107847,,8.45243E+12
Universal Press Corporation,8836728007479,JS-8287058,,8.17068E+12
Ultimate Paperworks Corporation,202309397270,QS-9934889,,9.78146E+12
NextGen Paperworks Inc.,21959797632,OD-6168277,,1.99304E+12
Superior Publications Group,9451745164604,WF-7945787,,9.80901E+12
Pro Press Global,1438057679303,JI-1147349,,
Advanced Paperworks Co.,9635469789301,EY-8924800,,
Green Paperworks Enterprises,5342352478351,JW-6214296,,
NextGen Printworks Corporation,9049761571766,LE-3785629,,7.9381E+12
Universal Printworks Partners,5823187204061,SM-4059083,,5.85427E+12
Green Books Partners,9617438805915,IC-8981395,,9.96142E+12
Eco Paper Inc.,7109739456268,NZ-8444902,,8.84266E+12
Universal Pages Ltd.,3592005370879,NS-2663468,,6.60846E+12
Ultimate Paperworks Corporation,900613566516,DZ-3730328,,2.5499E+12
Universal Publications Co.,8755157921611,LT-5617010,,2.30835E+12
Ultimate Press Partners,2576633168035,TR-4125610,,1.1707E+12
Eco Printworks Co.,8736510162808,QW-4806479,,6.60728E+11
Premier Printworks Corporation,5036144577016,OO-9010748,,
Advanced Press Inc.,8516720306144,FN-1572096,,
Green Paper Ltd.,9059421645070,HW-1988801,,
Superior Publications Co.,5490908564230,WD-7934659,,
Ultimate Publications Global,5585788057992,YL-3434797,,7.47023E+12
Eco Press Holdings,3991821639272,NL-6402542,,5.48252E+12
Premier Publications Group,9213785401779,ZT-8874177,,6.47636E+12
Premier Paperworks Group,7720382159288,DF-2093849,,7.01004E+12
Pro Publications Inc.,8442922774552,PS-6765523,,9.65316E+12
Ultimate Paper Partners,9636925096465,CJ-8914517,,6.65638E+12
NextGen Printworks Partners,2548487082026,AB-9464965,,4.42976E+12
Universal Pages Corporation,1621568679072,OD-4636279,,
Premier Books Partners,449797315141,HQ-3943465,,
Universal Printworks Ltd.,2667783232114,LC-4442408,,
Superior Paper Inc.,3298389836775,DE-4993854,,
Eco Pages Global,9772101661391,CN-6253455,,
Ultimate Paperworks International,4495473933522,FA-3284576,,5.86463E+12
Superior Paper Inc.,1650973797584,SW-3401542,,5.6887E+12
Eco Books International,3430914794534,LN-7065568,,6.73984E+12
Premier Pages Ltd.,8729959671709,OY-5527701,,6.78144E+12
Pro Books Enterprises,5980437982666,ON-6532534,,
Eco Publishing International,7244172151764,VR-1861266,,
NextGen Publishing Enterprises,8576404454965,NA-9356871,,
Universal Media Group,5177462710796,VD-8357347,,7.2766E+12
Green Pages Ltd.,9709011158814,IJ-3252037,,6.58166E+12
Premier Publishing International,9722511962126,YD-5429632,,4.0878E+12
Eco Publishing Corporation,4727092333044,GD-5822214,,2.58665E+12
NextGen Publications Group,9029712314044,KP-8671754,,4.69643E+12
NextGen Paper Global,7534969803602,YL-7408818,,
Pro Publications Partners,2823254002424,PY-9272365,,
Ultimate Media Ltd.,5250040443135,EN-2021280,,2.18958E+12
Universal Paper Ltd.,9882878422824,UG-8492302,,1.02909E+12
Global Paper Co.,3840661723762,OI-7197178,,
NextGen Publications Inc.,3106312570930,II-5855613,,
Premier Paperworks Partners,8354761448161,YO-3197265,,
Superior Paperworks Inc.,2657904908092,HS-6899812,,
Premier Publications Global,200059707131,KX-6327674,,
Pro Publishing Holdings,8494378669161,GP-4980429,,
Global Pages Group,7365861086643,YS-4978890,,
Universal Paper Ltd.,8224337798932,CQ-2800569,,4.22402E+12
